datapath,cores,k,create_rdd_time,skyline_time,topk_time,skyline_topk_time
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,1,1,0.442238299,0.736803391,1.11574147,0.044212256
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,1,10,0.036769136,0.225160927,1.313374784,0.039798562
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,1,50,0.022133096,0.171890797,1.215638032,0.033380045
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,1,100,0.034552725,0.1173382,1.251911013,0.029572076
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,2,1,0.023163945,0.128539179,0.483169214,0.031901266
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,2,10,0.021609426,0.14909285,0.258111011,0.027016502
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,2,50,0.016467996,0.092347632,0.331876844,0.410171223
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,2,100,0.016047245,0.088627935,0.406230295,0.403973456
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,4,1,0.012958942,0.071834683,0.393152978,0.01560396
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,4,10,0.017044798,0.075564459,0.335922871,0.014510651
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,4,50,0.011817474,0.096877406,0.398676794,0.270616551
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,4,100,0.014163688,0.070528045,0.361365013,0.453444437
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,8,1,0.012837029,0.071476435,0.395155437,0.015269823
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,8,10,0.01154622,0.068706209,0.371428204,0.013479096
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,8,50,0.017185207,0.076262591,0.323455881,0.402500819
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,8,100,0.012306979,0.067136122,0.391697186,0.410619458
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,1,1,0.011533988,0.063291822,1.483354233,0.011664307
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,1,10,0.01265293,0.051581796,1.478210539,0.011381626
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,1,50,0.011295916,0.043893121,1.452871857,0.010946331
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,1,100,0.011077451,0.044980877,1.471737734,0.011994315
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,2,1,0.010750619,0.034268878,0.388813863,0.011634271
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,2,10,0.010576494,0.030389777,0.424199949,0.453892715
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,2,50,0.010688258,0.028227919,0.343051849,0.397015425
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,2,100,0.011085279,0.029323907,0.386161144,0.392640539
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,4,1,0.011183949,0.026930702,0.389383403,0.010578981
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,4,10,0.01172484,0.037908534,0.400958236,0.399726952
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,4,50,0.01272775,0.036996274,0.390540544,0.403672554
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,4,100,0.010861116,0.036467979,0.393505423,0.400112816
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,8,1,0.01213851,0.028393058,0.293006727,0.009811386
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,8,10,0.0112164,0.036959707,0.436423817,0.401111802
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,8,50,0.017437414,0.028888692,0.390673956,0.397793422
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,8,100,0.010540974,0.034588918,0.385825918,0.392565304
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,1,1,0.01035925,0.040294978,1.487700733,0.011353368
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,1,10,0.01081113,0.037817855,1.473307393,0.01021246
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,1,50,0.010149089,0.039854685,1.480034621,0.011175594
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,1,100,0.011262565,0.045766105,1.460906885,0.010269286
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,2,1,0.010141965,0.026880721,0.387112957,0.009688146
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,2,10,0.010317454,0.025084053,0.385883694,0.411188213
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,2,50,0.010879529,0.025703287,0.3842429,0.394657004
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,2,100,0.010720361,0.03048712,0.384876996,0.395858835
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,4,1,0.0110372,0.026097832,0.408032013,0.009598249
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,4,10,0.009465639,0.030419219,0.391330562,0.397789698
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,4,50,0.010228842,0.025804354,0.389408764,0.284323896
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,4,100,0.010863862,0.025871837,0.389397127,0.395424078
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,8,1,0.010307906,0.024575242,0.394921434,0.009276261
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,8,10,0.010506589,0.025932347,0.39360185,0.396044694
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,8,50,0.009884069,0.024415909,0.39298424,0.402238912
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,8,100,0.010933696,0.035438727,0.399049156,0.389774099
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,1,1,0.010231427,6.249271263,3.978835641,0.029816479
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,1,10,0.012868256,6.567892767,3.118253324,0.031161525
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,1,50,0.011487776,6.319024891,3.217482495,0.053381556
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,1,100,0.010393633,6.965652144,4.034538737,0.098539385
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,2,1,0.014789337,5.298398207,0.803117841,0.022256439
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,2,10,0.01011265,5.21975928,0.79379009,0.028572494
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,2,50,0.01448517,5.32102415,0.884999923,0.04156765
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,2,100,0.010665147,5.395290418,0.855752779,0.046773776
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,4,1,0.010614768,5.516611318,0.809486992,0.024993282
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,4,10,0.010409454,6.352218543,0.924703055,0.025176986
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,4,50,0.015384776,5.844281169,0.877098695,0.039935763
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,4,100,0.011157383,4.979475913,0.788645877,0.044058468
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,8,1,0.009534839,5.036363036,0.799722687,0.023701097
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,8,10,0.012255768,5.456568641,0.787702629,0.025216058
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,8,50,0.009704141,5.132218346,0.797749453,0.037675906
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,8,100,0.012773187,5.277869764,0.82504615,0.054304428
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,1,1,0.011170124,46.824428875,559.287682792,0.034452565
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,1,10,0.011572432,40.835569998,565.515027075,0.040080218
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,1,50,0.012633141,40.341689021,726.895865126,593.975729095
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,1,100,0.012209978,43.39522972,1390.868518912,762.337452122
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,2,1,0.019993543,39.322885184,1780.167432552,0.064623484
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,2,10,0.011568488,33.229490636,1234.975642386,0.058826584
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,2,50,0.011636268,31.37342503,1567.567389826,795.129479606
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,2,100,0.012031207,31.308830439,1410.510478921,580.506645482
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,4,1,0.011931976,29.866251639,638.080898315,0.029934042
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,4,10,0.012348127,28.960434811,910.257124664,0.03047349
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,4,50,0.011504428,29.315607948,542.124623289,514.417151995
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,4,100,0.011923455,30.176080868,1937.379280976,725.729786541
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,8,1,0.028059514,28.810870379,1989.824975484,0.092893455
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,8,10,0.018327184,28.685769195,1976.888756688,0.058934435
